P/DD,TPPip,LAP1300,BrkOutPip1300,ChanFactor1300,AnalysisMin1300,HourEnd1300
114.2857142857,60,90,120,160,1020,16
354.0540540541,70,200,200,80,780,20
83.8046272494,90,90,180,180,1380,18
280.6034482759,90,200,120,200,540,18
52.2891566265,90,90,200,160,1380,22
214.5695364238,100,200,20,160,1020,23
84.1352405722,90,90,180,40,840,23
109.337860781,80,190,100,100,840,7
166.2337662338,80,90,20,160,1380,20
182.8571428571,50,200,80,80,840,5
392.0245398773,80,190,40,40,1020,17
114.3884892086,60,190,40,80,540,10
97.8227060653,80,190,100,160,720,1
187.8787878788,70,200,80,160,900,1
193.75,70,200,160,80,960,7
201.6286644951,50,200,80,160,1020,9
625.2525252525,100,90,180,200,540,15
256.4315352697,100,80,200,140,720,15
47.3076923077,70,90,120,180,1020,23
56.586270872,70,30,140,80,720,10
135.8574610245,100,190,60,80,1080,9
101.3333333333,60,200,40,160,300,8
199.3442622951,50,190,120,80,720,10
251.867219917,80,80,80,200,600,15
251.867219917,80,80,140,200,600,15
141.7840375587,100,190,60,20,360,17
702.3255813953,90,90,40,200,600,15
69.918699187,80,90,140,80,960,23
60.7070707071,60,180,140,120,60,16
74.2892459827,60,80,120,60,960,20
53.0973451327,70,190,60,60,240,1
67.9545454545,60,180,160,140,540,1
177.9761904762,100,200,20,180,1020,23
68.5419058553,100,90,100,180,240,16
88.4272997033,50,40,200,80,1020,16
115.2804642166,70,190,60,120,480,11
202.7210884354,100,190,60,200,540,18
239.9193548387,60,190,140,200,660,19
294.5544554455,70,190,80,200,1020,21
245.4545454545,90,80,200,140,720,15
209.219858156,70,180,200,160,900,18
209.219858156,70,180,140,160,900,18
79.4594594595,80,200,40,200,300,3
236.6935483871,50,190,180,120,480,19
71.3244228433,100,80,120,200,1140,16
454.2635658915,90,200,60,80,660,18
47.2874493927,90,90,200,40,780,7
165.625,100,90,40,200,300,15
88.8549618321,100,90,140,20,780,17
